index,has_he a,has_dat,status
1030,True,True,OK
1031,True,True,OK
1032,True,True,OK
1033,True,True,OK
1034,True,True,OK
1035,True,True,OK
1036,True,True,OK
1037,True,True,OK
1038,True,True,OK
1039,True,True,OK
1040,True,True,OK
1041,True,True,OK
1042,True,True,OK
1043,True,True,OK
1044,True,True,OK
1045,True,True,OK
1046,True,True,OK
1047,True,True,OK
1048,True,True,OK
1049,True,True,OK
1050,True,True,OK
1051,True,True,OK
1052,True,True,OK
1053,True,True,OK
1054,True,True,OK
1055,True,True,OK
1056,True,True,OK
1057,True,True,OK
1058,True,True,OK
1059,True,True,OK
1060,True,True,OK
1061,True,True,OK
1062,True,True,OK
1063,True,True,OK
1064,True,True,OK
1065,True,True,OK
1066,True,True,OK
1067,True,True,OK
1068,True,True,OK
1069,True,True,OK
1070,True,True,OK
1071,True,True,OK
1072,True,True,OK
1073,True,True,OK
1074,True,True,OK
1075,True,True,OK
1076,True,True,OK
1077,True,True,OK
1078,True,True,OK
1079,True,True,OK
1080,True,True,OK
1081,True,True,OK
1082,True,True,OK
1083,True,True,OK
1084,True,True,OK
1085,True,True,OK
1086,True,True,OK
1087,True,True,OK
1088,True,True,OK
1089,True,True,OK
1090,True,True,OK
1091,True,True,OK
1092,True,True,OK
1093,True,True,OK
1094,True,True,OK
1095,True,True,OK
1096,True,True,OK
1097,True,True,OK
1098,True,True,OK
1099,True,True,OK
1100,True,True,OK
1101,True,True,OK
1102,True,True,OK
1103,True,True,OK
1104,True,True,OK
1105,True,True,OK
1106,True,True,OK
1107,True,True,OK
1108,True,True,OK
1109,True,True,OK
1110,True,True,OK
1111,True,True,OK
1112,True,True,OK
1113,True,True,OK
1114,True,True,OK
1115,True,True,OK
1116,True,True,OK
1117,True,True,OK
1118,True,True,OK
1119,True,True,OK
1120,True,True,OK
1121,True,True,OK
